title,price,house_area,land_area,location,date_posted
Дом 125 м² на участке 6 сот.,10 750 000 ₽,125 м²,6 сот.,"ТроицкКалужское шоссе, 23 км",15 июля 08:15
Дом 102 м² на участке 8 сот.,4 000 000 ₽,102 м²,8 сот.,"НСТ ОзонВаршавское шоссе, 48 км",4 ноября 2024
"Дом 61,1 м² на участке 6 сот.",2 500 000 ₽,"61,1 м²",6 сот.,"пос. Шарапова-ОхотаСимферопольское шоссе, 61 км",11 июня 15:06
Дом 123 м² на участке 8 сот.,2 800 000 ₽,123 м²,8 сот.,"КП РаздольеМинское шоссе, 81 км",9 августа 23:53
Дом 168 м² на участке 10 сот.,2 799 000 ₽,168 м²,10 сот.,"д. СемёнковоВолоколамское шоссе, 59 км",27 июня 12:54
Дом 164 м² на участке 6 сот.,3 000 000 ₽,164 м²,6 сот.,"СНТ ВостокЕгорьевское шоссе, 72 км",3 февраля 15:42
"Дача 43,3 м² на участке 10 сот.",1 100 000 ₽,"43,3 м²",10 сот.,"СНТ ИмпульсГорьковское шоссе, 41 км",22 мая 12:32
Дача 55 м² на участке 6 сот.,790 000 ₽,55 м²,6 сот.,"с. Осташово, СНТ ЛесноеНоворязанское шоссе, 71 км",3 дня назад
"Дом 250 м² на участке 5,7 сот.",6 499 000 ₽,250 м²,"5,7 сот.","садовое товарищество РомантикаКиевское шоссе, 63 км",6 мая 14:56
Дом 118 м² на участке 6 сот.,5 950 000 ₽,118 м²,6 сот.,"коттеджный пос. Литвиново ВилладжФряновское шоссе, 28 км",1 декабря 2024
Дом 117 м² на участке 10 сот.,5 220 000 ₽,117 м²,10 сот.,"КП ИзумрудныйДмитровское шоссе, 43 км",7 дней назад
Дом 110 м² на участке 6 сот.,5 999 000 ₽,110 м²,6 сот.,"КП Лисичкино-2Рязанское шоссе, 46 км",17 июля 13:36
Дом 145 м² на участке 6 сот.,13 800 000 ₽,145 м²,6 сот.,"КП Бисерово-ОзёрноеГорьковское шоссе, 19 км",1 час назад
"Дом 101,5 м² на участке 5 сот.",10 600 000 ₽,"101,5 м²",5 сот.,"КоломнаНоворязанское шоссе, 87 км",30 июля 2024
"Дом 50 м² на участке 5,7 сот.",3 700 000 ₽,50 м²,"5,7 сот.","садовое товарищество ЛокомотивКиевское шоссе, 66 км",16 июня 14:41
Дом 91 м² на участке 12 сот.,3 200 000 ₽,91 м²,12 сот.,"д. БурковоМинское шоссе, 109 км",6 апреля 19:47
Дом 120 м² на участке 5 сот.,25 000 000 ₽,120 м²,5 сот.,"СНТ РостокВаршавское шоссе, 13 км",7 дней назад
"Коттедж 240 м² на участке 12,2 сот.",36 500 000 ₽,240 м²,"12,2 сот.","КП Нордик паркДмитровское шоссе, 21 км",7 дней назад
"Дом 75 м² на участке 9,2 сот.",8 500 000 ₽,75 м²,"9,2 сот.","с. Михайловская СлободаРязанское шоссе, 21 км",21 мая 16:20
Коттедж 166 м² на участке 10 сот.,33 000 000 ₽,166 м²,10 сот.,"ЩербинкаВаршавское шоссе, 11 км",18 мая 11:56
Дом 100 м² на участке 10 сот.,10 950 000 ₽,100 м²,10 сот.,"СНТ ЗвёздочкаЯрославское шоссе, 34 км",1 неделю назад
Дом 124 м² на участке 17 сот.,14 000 000 ₽,124 м²,17 сот.,"ТСН СНТ МихайловоМинское шоссе, 80 км",5 августа 22:23
Дом 35 м² на участке 15 сот.,4 000 000 ₽,35 м²,15 сот.,"д. КоняшиноЕгорьевское шоссе, 38 км",7 июня 2023
"Коттедж 215,2 м² на участке 21 сот.",5 502 735 ₽,"215,2 м²",21 сот.,"д. ТороповоРязанское шоссе, 40 км",23 июля 10:03
Дом 94 м² на участке 8 сот.,15 000 000 ₽,94 м²,8 сот.,"садовое товарищество БорВолоколамское шоссе, 12 км",5 августа 20:46
"Дом 124 м² на участке 4,5 сот.",19 500 000 ₽,124 м²,"4,5 сот.","пгт. НахабиноВолоколамское шоссе, 13 км",26 апреля 00:13
Дом 56 м² на участке 3 сот.,2 700 000 ₽,56 м²,3 сот.,"ЕгорьевскЕгорьевское шоссе, 84 км",1 августа 18:52
Дом 142 м² на участке 9 сот.,10 670 000 ₽,142 м²,9 сот.,"д. СелёвкиноДмитровское шоссе, 31 км",4 марта 13:16
Дача 49 м² на участке 10 сот.,4 400 000 ₽,49 м²,10 сот.,"коттеджный пос. ИгнатовоДмитровское шоссе, 30 км",5 января 2024
"Дом 100 м² на участке 5,5 сот.",5 990 000 ₽,100 м²,"5,5 сот.","КП Новое ГригоровоЕгорьевское шоссе, 36 км",5 июля 00:45
Дом 58 м² на участке 10 сот.,2 700 000 ₽,58 м²,10 сот.,"БалашихаНосовихинское шоссе, 5 км",7 дней назад
Дом 79 м² на участке 8 сот.,2 750 000 ₽,79 м²,8 сот.,"СНТ РучеёкЯрославское шоссе, 53 км",27 января 00:44
Дом 90 м² на участке 13 сот.,11 900 000 ₽,90 м²,13 сот.,"ХимкиНовосходненское шоссе, 11 км",7 августа 20:19
Дом 125 м² на участке 6 сот.,10 750 000 ₽,125 м²,6 сот.,"ТроицкКалужское шоссе, 23 км",15 июля 08:15
Дом 102 м² на участке 8 сот.,4 000 000 ₽,102 м²,8 сот.,"НСТ ОзонВаршавское шоссе, 48 км",4 ноября 2024
"Дом 61,1 м² на участке 6 сот.",2 500 000 ₽,"61,1 м²",6 сот.,"пос. Шарапова-ОхотаСимферопольское шоссе, 61 км",11 июня 15:06
Дом 123 м² на участке 8 сот.,2 800 000 ₽,123 м²,8 сот.,"КП РаздольеМинское шоссе, 81 км",9 августа 23:53
Дом 168 м² на участке 10 сот.,2 799 000 ₽,168 м²,10 сот.,"д. СемёнковоВолоколамское шоссе, 59 км",27 июня 12:54
Дом 164 м² на участке 6 сот.,3 000 000 ₽,164 м²,6 сот.,"СНТ ВостокЕгорьевское шоссе, 72 км",3 февраля 15:42
"Дача 43,3 м² на участке 10 сот.",1 100 000 ₽,"43,3 м²",10 сот.,"СНТ ИмпульсГорьковское шоссе, 41 км",22 мая 12:32
Дача 55 м² на участке 6 сот.,790 000 ₽,55 м²,6 сот.,"с. Осташово, СНТ ЛесноеНоворязанское шоссе, 71 км",3 дня назад
"Дом 250 м² на участке 5,7 сот.",6 499 000 ₽,250 м²,"5,7 сот.","садовое товарищество РомантикаКиевское шоссе, 63 км",6 мая 14:56
Дом 92 м² на участке 6 сот.,5 000 000 ₽,92 м²,6 сот.,"д. БабеевоНосовихинское шоссе, 38 км",24 июля 20:32
Дом 117 м² на участке 10 сот.,5 220 000 ₽,117 м²,10 сот.,"КП ИзумрудныйДмитровское шоссе, 43 км",7 дней назад
Дом 110 м² на участке 6 сот.,5 999 000 ₽,110 м²,6 сот.,"КП Лисичкино-2Рязанское шоссе, 46 км",17 июля 13:36
Дом 145 м² на участке 6 сот.,13 800 000 ₽,145 м²,6 сот.,"КП Бисерово-ОзёрноеГорьковское шоссе, 19 км",1 час назад
"Дом 101,5 м² на участке 5 сот.",10 600 000 ₽,"101,5 м²",5 сот.,"КоломнаНоворязанское шоссе, 87 км",30 июля 2024
"Дом 50 м² на участке 5,7 сот.",3 700 000 ₽,50 м²,"5,7 сот.","садовое товарищество ЛокомотивКиевское шоссе, 66 км",16 июня 14:41
Дом 101 м² на участке 6 сот.,6 500 000 ₽,101 м²,6 сот.,"д. ПласкининоЕгорьевское шоссе, 40 км",4 июня 17:23
Дом 50 м² на участке 15 сот.,1 600 000 ₽,50 м²,15 сот.,"д. АвсюниноЕгорьевское шоссе, 78 км",1 неделю назад
"Дом 145 м² на участке 7,5 сот.",5 800 000 ₽,145 м²,"7,5 сот.","дп. Бархатово ЛесКиевское шоссе, 58 км",8 августа 10:29
Дом 102 м² на участке 8 сот.,6 680 000 ₽,102 м²,8 сот.,"РаменскоеРязанское шоссе, 28 км",7 дней назад
Дом 200 м² на участке 8 сот.,7 500 000 ₽,200 м²,8 сот.,"д. КарцевоВолоколамское шоссе, 48 км",3 недели назад
Дом 241 м² на участке 8 сот.,24 000 000 ₽,241 м²,8 сот.,"КраснознаменскМожайское шоссе, 22 км",7 дней назад
Дом 180 м² на участке 8 сот.,26 500 000 ₽,180 м²,8 сот.,"ДНТ Сосновый БорЕгорьевское шоссе, 13 км",8 июля 14:27
Дом 154 м² на участке 7 сот.,10 999 000 ₽,154 м²,7 сот.,"д. ЕремеевоПятницкое шоссе, 27 км",Вчера
"Дом 120 м² на участке 6,7 сот.",15 500 000 ₽,120 м²,"6,7 сот.","д. ОрловоНоворязанское шоссе, 10 км",18 января 15:47
Коттедж 150 м² на участке 1 сот.,15 000 000 ₽,150 м²,1 сот.,"ВоскресенскоеКалужское шоссе, 8 км",27 августа 2024
Дом 90 м² на участке 8 сот.,6 500 000 ₽,90 м²,8 сот.,"ЭлектростальНосовихинское шоссе, 41 км",4 апреля 11:08
"Дом 81 м² на участке 8,5 сот.",4 700 000 ₽,81 м²,"8,5 сот.","дачное некоммерческое партнёрство Стародачная Поляна-2Минское шоссе, 75 км",19 июня 13:00
Дача 70 м² на участке 6 сот.,2 100 000 ₽,70 м²,6 сот.,"садовое товарищество ЗаряГорьковское шоссе, 56 км",27 июля 2024
Дом 120 м² на участке 6 сот.,24 000 000 ₽,120 м²,6 сот.,"ОдинцовоБоровское шоссе, 12 км",15 июля 11:19
"Дача 85,7 м² на участке 6,1 сот.",2 000 000 ₽,"85,7 м²","6,1 сот.","СНТ КрутицыМожайское шоссе, 54 км",3 августа 11:46
"Дом 227,5 м² на участке 13 сот.",10 800 000 ₽,"227,5 м²",13 сот.,"пгт. СофриноЯрославское шоссе, 31 км",1 июня 14:28
Дом 74 м² на участке 6 сот.,7 000 000 ₽,74 м²,6 сот.,"СНТ РассветНоворязанское шоссе, 83 км",Вчера
Дом 123 м² на участке 8 сот.,2 800 000 ₽,123 м²,8 сот.,"КП РаздольеМинское шоссе, 81 км",9 августа 23:53
Дом 168 м² на участке 10 сот.,2 799 000 ₽,168 м²,10 сот.,"д. СемёнковоВолоколамское шоссе, 59 км",27 июня 12:54
Дом 164 м² на участке 6 сот.,3 000 000 ₽,164 м²,6 сот.,"СНТ ВостокЕгорьевское шоссе, 72 км",3 февраля 15:42
"Дача 43,3 м² на участке 10 сот.",1 100 000 ₽,"43,3 м²",10 сот.,"СНТ ИмпульсГорьковское шоссе, 41 км",22 мая 12:32
Дача 55 м² на участке 6 сот.,790 000 ₽,55 м²,6 сот.,"с. Осташово, СНТ ЛесноеНоворязанское шоссе, 71 км",3 дня назад
"Дом 250 м² на участке 5,7 сот.",6 499 000 ₽,250 м²,"5,7 сот.","садовое товарищество РомантикаКиевское шоссе, 63 км",6 мая 14:56
Дом 118 м² на участке 6 сот.,5 950 000 ₽,118 м²,6 сот.,"коттеджный пос. Литвиново ВилладжФряновское шоссе, 28 км",1 декабря 2024
Дом 117 м² на участке 10 сот.,5 220 000 ₽,117 м²,10 сот.,"КП ИзумрудныйДмитровское шоссе, 43 км",7 дней назад
Дом 110 м² на участке 6 сот.,5 999 000 ₽,110 м²,6 сот.,"КП Лисичкино-2Рязанское шоссе, 46 км",17 июля 13:36
Дом 145 м² на участке 6 сот.,13 800 000 ₽,145 м²,6 сот.,"КП Бисерово-ОзёрноеГорьковское шоссе, 19 км",1 час назад
"Дом 101,5 м² на участке 5 сот.",10 600 000 ₽,"101,5 м²",5 сот.,"КоломнаНоворязанское шоссе, 87 км",30 июля 2024
"Дом 50 м² на участке 5,7 сот.",3 700 000 ₽,50 м²,"5,7 сот.","садовое товарищество ЛокомотивКиевское шоссе, 66 км",16 июня 14:41
Дом 101 м² на участке 6 сот.,6 500 000 ₽,101 м²,6 сот.,"д. ПласкининоЕгорьевское шоссе, 40 км",4 июня 17:23
Дом 50 м² на участке 15 сот.,1 600 000 ₽,50 м²,15 сот.,"д. АвсюниноЕгорьевское шоссе, 78 км",1 неделю назад
"Дом 145 м² на участке 7,5 сот.",5 800 000 ₽,145 м²,"7,5 сот.","дп. Бархатово ЛесКиевское шоссе, 58 км",8 августа 10:29
Дом 102 м² на участке 8 сот.,6 680 000 ₽,102 м²,8 сот.,"РаменскоеРязанское шоссе, 28 км",7 дней назад
Дом 200 м² на участке 8 сот.,7 500 000 ₽,200 м²,8 сот.,"д. КарцевоВолоколамское шоссе, 48 км",3 недели назад
Дом 241 м² на участке 8 сот.,24 000 000 ₽,241 м²,8 сот.,"КраснознаменскМожайское шоссе, 22 км",7 дней назад
Дом 180 м² на участке 8 сот.,26 500 000 ₽,180 м²,8 сот.,"ДНТ Сосновый БорЕгорьевское шоссе, 13 км",8 июля 14:27
Дом 154 м² на участке 7 сот.,10 999 000 ₽,154 м²,7 сот.,"д. ЕремеевоПятницкое шоссе, 27 км",Вчера
"Дом 120 м² на участке 6,7 сот.",15 500 000 ₽,120 м²,"6,7 сот.","д. ОрловоНоворязанское шоссе, 10 км",18 января 15:47
Дом 90 м² на участке 8 сот.,6 500 000 ₽,90 м²,8 сот.,"ЭлектростальНосовихинское шоссе, 41 км",4 апреля 11:08
"Дом 81 м² на участке 8,5 сот.",4 700 000 ₽,81 м²,"8,5 сот.","дачное некоммерческое партнёрство Стародачная Поляна-2Минское шоссе, 75 км",19 июня 13:00
"Дом 76,2 м² на участке 7,5 сот.",2 990 000 ₽,"76,2 м²","7,5 сот.","СНТ ДружбаКаширское шоссе, 41 км",28 января 16:46
Дача 70 м² на участке 6 сот.,2 100 000 ₽,70 м²,6 сот.,"садовое товарищество ЗаряГорьковское шоссе, 56 км",27 июля 2024
Дом 120 м² на участке 6 сот.,24 000 000 ₽,120 м²,6 сот.,"ОдинцовоБоровское шоссе, 12 км",15 июля 11:19
"Дача 85,7 м² на участке 6,1 сот.",2 000 000 ₽,"85,7 м²","6,1 сот.","СНТ КрутицыМожайское шоссе, 54 км",3 августа 11:46
"Дом 227,5 м² на участке 13 сот.",10 800 000 ₽,"227,5 м²",13 сот.,"пгт. СофриноЯрославское шоссе, 31 км",1 июня 14:28
Дом 105 м² на участке 9 сот.,2 390 000 ₽,105 м²,9 сот.,"д. ФедцовоНоворижское шоссе, 103 км",14 января 15:52
Дом 74 м² на участке 6 сот.,7 000 000 ₽,74 м²,6 сот.,"СНТ РассветНоворязанское шоссе, 83 км",Вчера
Коттедж 623 м² на участке 9 сот.,98 000 000 ₽,623 м²,9 сот.,"с. Петрово-Дальнее, КП Петрово-ДальнееИльинское шоссе, 13 км",8 августа 14:39
"Коттедж 107 м² на участке 5,5 сот.",17 499 000 ₽,107 м²,"5,5 сот.","АпрелевкаКиевское шоссе, 29 км",6 августа 14:14
Дом 64 м² на участке 6 сот.,4 430 000 ₽,64 м²,6 сот.,"СНТ ЛеснойНоворязанское шоссе, 84 км",3 дня назад
Дача 72 м² на участке 8 сот.,3 300 000 ₽,72 м²,8 сот.,"д. АнаньиноНовокаширское шоссе, 54 км",5 августа 18:59
"Дом 69,7 м² на участке 2,3 сот.",7 500 000 ₽,"69,7 м²","2,3 сот.","пгт. РодникиБыковское шоссе, 15 км",22 июля 17:34
Дом 48 м² на участке 10 сот.,2 700 000 ₽,48 м²,10 сот.,"д. МазиловоВолоколамское шоссе, 51 км",31 марта 21:50
Дом 120 м² на участке 5 сот.,5 345 000 ₽,120 м²,5 сот.,"с. ШараповоСимферопольское шоссе, 50 км",17 декабря 2024
Дом 90 м² на участке 8 сот.,6 000 000 ₽,90 м²,8 сот.,"д. ВаськиноСимферопольское шоссе, 50 км",30 июля 14:32
"Дом 62,5 м² на участке 4 сот.",4 500 000 ₽,"62,5 м²",4 сот.,"пгт. ЗеленоградскийЯрославское шоссе, 28 км",7 июня 20:32
Дом 170 м² на участке 6 сот.,15 500 000 ₽,170 м²,6 сот.,"ЛМСКалужское шоссе, 32 км",19 марта 11:04
Дом 130 м² на участке 5 сот.,6 500 000 ₽,130 м²,5 сот.,"д. МанушкиноСимферопольское шоссе, 53 км",7 дней назад
"Дом 115,5 м² на участке 11 сот.",5 100 000 ₽,"115,5 м²",11 сот.,"СНТ КолычевоСимферопольское шоссе, 61 км",3 июня 10:30
Дом 68 м² на участке 4 сот.,2 290 000 ₽,68 м²,4 сот.,"садовое товарищество ДубровкаНосовихинское шоссе, 40 км",29 июня 2024
"Дом 95 м² на участке 6,5 сот.",3 245 000 ₽,95 м²,"6,5 сот.","д. ЕрмоловоСимферопольское шоссе, 55 км",3 недели назад
Дом 305 м² на участке 20 сот.,15 000 000 ₽,305 м²,20 сот.,"д. АладьиноКаширское шоссе, 91 км",6 апреля 12:33
Дом 75 м² на участке 6 сот.,3 000 000 ₽,75 м²,6 сот.,"КП Большое ТатариновоНовокаширское шоссе, 46 км",3 дня назад
Дом 80 м² на участке 6 сот.,1 700 000 ₽,80 м²,6 сот.,"садовое товарищество Лесные ДалиМинское шоссе, 107 км",7 дней назад
Дом 47 м² на участке 3 сот.,7 900 000 ₽,47 м²,3 сот.,"КП Левково-2Ярославское шоссе, 20 км",3 недели назад
"Дом 253,6 м² на участке 8 сот.",23 500 000 ₽,"253,6 м²",8 сот.,"коттеджный пос. Берег ПесочнойВолоколамское шоссе, 31 км",6 июля 14:30
"Дом 97 м² на участке 13,8 сот.",8 600 000 ₽,97 м²,"13,8 сот.","коттеджный пос. Грин лаунджПятницкое шоссе, 46 км",22 апреля 16:33
"Дом 145 м² на участке 7,5 сот.",5 800 000 ₽,145 м²,"7,5 сот.","дп. Бархатово ЛесКиевское шоссе, 58 км",8 августа 10:29
Дом 102 м² на участке 8 сот.,6 680 000 ₽,102 м²,8 сот.,"РаменскоеРязанское шоссе, 28 км",7 дней назад
Дом 200 м² на участке 8 сот.,7 500 000 ₽,200 м²,8 сот.,"д. КарцевоВолоколамское шоссе, 48 км",3 недели назад
Дом 241 м² на участке 8 сот.,24 000 000 ₽,241 м²,8 сот.,"КраснознаменскМожайское шоссе, 22 км",7 дней назад
Дом 180 м² на участке 8 сот.,26 500 000 ₽,180 м²,8 сот.,"ДНТ Сосновый БорЕгорьевское шоссе, 13 км",8 июля 14:27
Дом 154 м² на участке 7 сот.,10 999 000 ₽,154 м²,7 сот.,"д. ЕремеевоПятницкое шоссе, 27 км",Вчера
"Дом 120 м² на участке 6,7 сот.",15 500 000 ₽,120 м²,"6,7 сот.","д. ОрловоНоворязанское шоссе, 10 км",18 января 15:47
Дом 90 м² на участке 8 сот.,6 500 000 ₽,90 м²,8 сот.,"ЭлектростальНосовихинское шоссе, 41 км",4 апреля 11:08
"Дом 81 м² на участке 8,5 сот.",4 700 000 ₽,81 м²,"8,5 сот.","дачное некоммерческое партнёрство Стародачная Поляна-2Минское шоссе, 75 км",19 июня 13:00
Дача 70 м² на участке 6 сот.,2 100 000 ₽,70 м²,6 сот.,"садовое товарищество ЗаряГорьковское шоссе, 56 км",27 июля 2024
Дом 120 м² на участке 6 сот.,24 000 000 ₽,120 м²,6 сот.,"ОдинцовоБоровское шоссе, 12 км",15 июля 11:19
"Дача 85,7 м² на участке 6,1 сот.",2 000 000 ₽,"85,7 м²","6,1 сот.","СНТ КрутицыМожайское шоссе, 54 км",3 августа 11:46
Дом 105 м² на участке 9 сот.,2 390 000 ₽,105 м²,9 сот.,"д. ФедцовоНоворижское шоссе, 103 км",14 января 15:52
"Дом 227,5 м² на участке 13 сот.",10 800 000 ₽,"227,5 м²",13 сот.,"пгт. СофриноЯрославское шоссе, 31 км",1 июня 14:28
Дом 74 м² на участке 6 сот.,7 000 000 ₽,74 м²,6 сот.,"СНТ РассветНоворязанское шоссе, 83 км",Вчера
Коттедж 623 м² на участке 9 сот.,98 000 000 ₽,623 м²,9 сот.,"с. Петрово-Дальнее, КП Петрово-ДальнееИльинское шоссе, 13 км",8 августа 14:39
"Коттедж 107 м² на участке 5,5 сот.",17 499 000 ₽,107 м²,"5,5 сот.","АпрелевкаКиевское шоссе, 29 км",6 августа 14:14
Дом 64 м² на участке 6 сот.,4 430 000 ₽,64 м²,6 сот.,"СНТ ЛеснойНоворязанское шоссе, 84 км",3 дня назад
Дача 72 м² на участке 8 сот.,3 300 000 ₽,72 м²,8 сот.,"д. АнаньиноНовокаширское шоссе, 54 км",5 августа 18:59
"Дом 69,7 м² на участке 2,3 сот.",7 500 000 ₽,"69,7 м²","2,3 сот.","пгт. РодникиБыковское шоссе, 15 км",22 июля 17:34
Дом 48 м² на участке 10 сот.,2 700 000 ₽,48 м²,10 сот.,"д. МазиловоВолоколамское шоссе, 51 км",31 марта 21:50
Дом 120 м² на участке 5 сот.,5 345 000 ₽,120 м²,5 сот.,"с. ШараповоСимферопольское шоссе, 50 км",17 декабря 2024
Дом 90 м² на участке 8 сот.,6 000 000 ₽,90 м²,8 сот.,"д. ВаськиноСимферопольское шоссе, 50 км",30 июля 14:32
"Дом 62,5 м² на участке 4 сот.",4 500 000 ₽,"62,5 м²",4 сот.,"пгт. ЗеленоградскийЯрославское шоссе, 28 км",7 июня 20:32
"Дача 80 м² на участке 8,5 сот.",2 850 000 ₽,80 м²,"8,5 сот.","садоводческое некоммерческое товарищество ЗагорьеЯрославское шоссе, 73 км",3 недели назад
Дом 170 м² на участке 6 сот.,15 500 000 ₽,170 м²,6 сот.,"ЛМСКалужское шоссе, 32 км",19 марта 11:04
Дом 130 м² на участке 5 сот.,6 500 000 ₽,130 м²,5 сот.,"д. МанушкиноСимферопольское шоссе, 53 км",7 дней назад
Дом 68 м² на участке 4 сот.,2 290 000 ₽,68 м²,4 сот.,"садовое товарищество ДубровкаНосовихинское шоссе, 40 км",29 июня 2024
Дом 165 м² на участке 6 сот.,15 000 000 ₽,165 м²,6 сот.,"д. ИсаковоВолоколамское шоссе, 15 км",18 июля 09:41
"Дом 95 м² на участке 6,5 сот.",3 245 000 ₽,95 м²,"6,5 сот.","д. ЕрмоловоСимферопольское шоссе, 55 км",3 недели назад
Дом 305 м² на участке 20 сот.,15 000 000 ₽,305 м²,20 сот.,"д. АладьиноКаширское шоссе, 91 км",6 апреля 12:33
Дом 75 м² на участке 6 сот.,3 000 000 ₽,75 м²,6 сот.,"КП Большое ТатариновоНовокаширское шоссе, 46 км",3 дня назад
Дом 80 м² на участке 6 сот.,1 700 000 ₽,80 м²,6 сот.,"садовое товарищество Лесные ДалиМинское шоссе, 107 км",7 дней назад
Дом 47 м² на участке 3 сот.,7 900 000 ₽,47 м²,3 сот.,"КП Левково-2Ярославское шоссе, 20 км",3 недели назад
"Дом 253,6 м² на участке 8 сот.",23 500 000 ₽,"253,6 м²",8 сот.,"коттеджный пос. Берег ПесочнойВолоколамское шоссе, 31 км",6 июля 14:30
"Дом 97 м² на участке 13,8 сот.",8 600 000 ₽,97 м²,"13,8 сот.","коттеджный пос. Грин лаунджПятницкое шоссе, 46 км",22 апреля 16:33
Дом 129 м² на участке 10 сот.,13 400 000 ₽,129 м²,10 сот.,"ЯхромаДмитровское шоссе, 43 км",2 июня 17:17
Дом 90 м² на участке 9 сот.,3 000 000 ₽,90 м²,9 сот.,"СНТ ЗагорьеЯрославское шоссе, 64 км",22 мая 19:33
Дом 170 м² на участке 15 сот.,15 990 000 ₽,170 м²,15 сот.,"СолнечногорскРогачёвское шоссе, 49 км",15 августа 2023
"Коттедж 125 м² на участке 6,5 сот.",13 000 000 ₽,125 м²,"6,5 сот.","д. ПротасовоФряновское шоссе, 35 км",13 июля 09:00
Дом 85 м² на участке 5 сот.,3 745 000 ₽,85 м²,5 сот.,"с. СемёновскоеРогачёвское шоссе, 53 км",28 ноября 2024
"Дача 52,6 м² на участке 7,5 сот.",1 850 000 ₽,"52,6 м²","7,5 сот.","СНТ НадеждаМинское шоссе, 70 км",6 апреля 16:22
"Дом 115,5 м² на участке 11 сот.",5 100 000 ₽,"115,5 м²",11 сот.,"СНТ КолычевоСимферопольское шоссе, 61 км",3 июня 10:30
"Дом 44,6 м² на участке 1 сот.",3 650 000 ₽,"44,6 м²",1 сот.,"пгт. РешетниковоЛенинградское шоссе, 83 км",4 августа 20:06
Дом 137 м² на участке 12 сот.,13 000 000 ₽,137 м²,12 сот.,"ЛуховицыНоворязанское шоссе, 108 км",17 июля 2024
"Дом 100 м² на участке 12,7 сот.",4 800 000 ₽,100 м²,"12,7 сот.","СНТ Марьинка-2Каширское шоссе, 53 км",7 дней назад
"Дом 72 м² на участке 8,2 сот.",2 990 000 ₽,72 м²,"8,2 сот.","СНТ Мичуринский ТруженикНосовихинское шоссе, 25 км",30 мая 14:55
"Дача 45 м² на участке 7,4 сот.",1 600 000 ₽,45 м²,"7,4 сот.","СТСН Химик-3АНоворязанское шоссе, 74 км",3 июня 19:37
"Коттедж 99 м² на участке 6,8 сот.",8 000 000 ₽,99 м²,"6,8 сот.","д. СлепушкиноСимферопольское шоссе, 43 км",3 дня назад
Дом 70 м² на участке 5 сот.,5 590 000 ₽,70 м²,5 сот.,"д. ЗверковоДмитровское шоссе, 53 км",7 дней назад
Дом 90 м² на участке 8 сот.,6 000 000 ₽,90 м²,8 сот.,"д. ВаськиноСимферопольское шоссе, 50 км",30 июля 14:32
"Дом 62,5 м² на участке 4 сот.",4 500 000 ₽,"62,5 м²",4 сот.,"пгт. ЗеленоградскийЯрославское шоссе, 28 км",7 июня 20:32
Дом 170 м² на участке 6 сот.,15 500 000 ₽,170 м²,6 сот.,"ЛМСКалужское шоссе, 32 км",19 марта 11:04
Дом 130 м² на участке 5 сот.,6 500 000 ₽,130 м²,5 сот.,"д. МанушкиноСимферопольское шоссе, 53 км",7 дней назад
"Дом 115,5 м² на участке 11 сот.",5 100 000 ₽,"115,5 м²",11 сот.,"СНТ КолычевоСимферопольское шоссе, 61 км",3 июня 10:30
Дом 68 м² на участке 4 сот.,2 290 000 ₽,68 м²,4 сот.,"садовое товарищество ДубровкаНосовихинское шоссе, 40 км",29 июня 2024
"Дом 95 м² на участке 6,5 сот.",3 245 000 ₽,95 м²,"6,5 сот.","д. ЕрмоловоСимферопольское шоссе, 55 км",3 недели назад
Дом 305 м² на участке 20 сот.,15 000 000 ₽,305 м²,20 сот.,"д. АладьиноКаширское шоссе, 91 км",6 апреля 12:33
Дом 75 м² на участке 6 сот.,3 000 000 ₽,75 м²,6 сот.,"КП Большое ТатариновоНовокаширское шоссе, 46 км",3 дня назад
Дом 80 м² на участке 6 сот.,1 700 000 ₽,80 м²,6 сот.,"садовое товарищество Лесные ДалиМинское шоссе, 107 км",7 дней назад
Дом 47 м² на участке 3 сот.,7 900 000 ₽,47 м²,3 сот.,"КП Левково-2Ярославское шоссе, 20 км",3 недели назад
"Дом 253,6 м² на участке 8 сот.",23 500 000 ₽,"253,6 м²",8 сот.,"коттеджный пос. Берег ПесочнойВолоколамское шоссе, 31 км",6 июля 14:30
"Дом 97 м² на участке 13,8 сот.",8 600 000 ₽,97 м²,"13,8 сот.","коттеджный пос. Грин лаунджПятницкое шоссе, 46 км",22 апреля 16:33
Дом 129 м² на участке 10 сот.,13 400 000 ₽,129 м²,10 сот.,"ЯхромаДмитровское шоссе, 43 км",2 июня 17:17
Дом 90 м² на участке 9 сот.,3 000 000 ₽,90 м²,9 сот.,"СНТ ЗагорьеЯрославское шоссе, 64 км",22 мая 19:33
Дом 170 м² на участке 15 сот.,15 990 000 ₽,170 м²,15 сот.,"СолнечногорскРогачёвское шоссе, 49 км",15 августа 2023
"Коттедж 125 м² на участке 6,5 сот.",13 000 000 ₽,125 м²,"6,5 сот.","д. ПротасовоФряновское шоссе, 35 км",13 июля 09:00
Дом 85 м² на участке 5 сот.,3 745 000 ₽,85 м²,5 сот.,"с. СемёновскоеРогачёвское шоссе, 53 км",28 ноября 2024
"Дача 52,6 м² на участке 7,5 сот.",1 850 000 ₽,"52,6 м²","7,5 сот.","СНТ НадеждаМинское шоссе, 70 км",6 апреля 16:22
